#,Startup,Sector,Amount,Round (original),Investors,Period,Source Outlet,Source URL,Verified Round,Correction/Discrepancy Notes
13,Mitti Labs,Food/Crop Tech,$9.5M,Series A,Aramco Ventures,August 2026,YourStory,https://yourstory.com/2026/08/mitti-labs-raised-over-9-million-aramco-saudi,Series A,
14,Vingo,Retail/E-Commerce,$1.2M,Seed,India Quotient,August 2026,Entrackr,https://entrackr.com/snippets/c2c-marketplace-vingo-raises-rs-10-cr-seed-round-led-by-indiaquotient-12231153,Seed,
15,Inrisk Labs,FinTech/Insurance IT,$27M,Series A,Bessemer Venture Partners,August 2026,YourStory,https://yourstory.com/2026/08/insurtech-startup-inrisk-labs-raises-27-million-in-series-a,Series A,
16,Club Emerald,Travel/Hotels,$11M,Post IPO,Lighthouse Canton,August 2026,Entrackr,https://entrackr.com/snippets/lighthouse-canton-closes-rs-1050-mn-private-credit-investment-in-emerald-leisures-12231787,Unclear,"[DISCREPANCY] Company is ""Emerald Leisures""; ""Post IPO"" status not clearly verified in coverage."
17,Rideriver,Energy Tech/EVs,$102M,Series C,Elev8,August 2026,Entrackr,https://entrackr.com/news/river-mobility-raises-120-mn-in-series-c-led-by-elev8-claypond-capital-12232629,Series C,"[DISCREPANCY] Listed $102M; press reports $120M. Company is ""River Mobility""."
18,Rideriver,Energy Tech/EVs,$18M,Venture Debt,Alteria Capital,August 2026,Not yet checked,,,
19,Sapiom,Undisclosed Sector,$35M,Series A,DRAGONFLY,August 2026,Unverified — no corroboration found,,Unverified,
20,Nyai,Enterprise/Legal Tech,$1.5M,Seed,Undisclosed,August 2026,Entrackr,https://entrackr.com/snippets/legal-tech-startup-nyai-raises-15-mn-in-seed-round-12227113,Seed,
21,Vaaree,Retail/Home Improvements,$6.82M,Series A,Cap Alpha Ventures,August 2026,YourStory,https://yourstory.com/2026/08/home-decor-furnishings-marketplace-vaaree-series-a-funding,Series A,
22,Stable Money,FinTech/Investment Tech,$14.3M,Series C,Fundamentum,August 2026,Entrackr,https://entrackr.com/exclusive/exclusive-stable-money-kicks-off-series-c-with-143-mn-from-existing-investors-12226556,Series C,
23,Superleap,Enterprise/Sales Automation,$3.78M,Seed,Peak XV Partners,August 2026,Entrackr,https://entrackr.com/snippets/superleap-raises-rs-36-cr-in-pre-series-a-round-led-by-peak-xvs-surge-12226051,Pre-Series A,[DISCREPANCY] Listed as Seed; press reports Pre-Series A.
24,Zoppler Systems,Defense/Military Tech,$682K,Seed,Finvolve,August 2026,Entrackr,https://entrackr.com/snippets/zoppler-systems-raises-rs-65-cr-from-finvolve-and-india-accelerator-12227359,Seed,
25,Ai-Horizon,AI/Speech Recognition,Undisclosed,Seed,Source1 Technologies,August 2026,Unverified — no corroboration found,,Unverified,
26,Sarvam,High Tech/AI,$75M,Series B,Activate,August 2026,Inc42,https://inc42.com/buzz/sarvam-to-raise-74-mn-in-series-b-extension-from-nvidia-others/,Series B Extension,"[DISCREPANCY] Listed $75M; press reports $74M, and this is a Series B extension, not the main round."
27,GetVantage,FinTech/Alternative Lending,Undisclosed,Conventional Debt,VCMint,August 2026,Unverified — no corroboration found,,Unverified,
28,GetVantage,FinTech/Alternative Lending,$6.6M,Series A,Chiratae Ventures,August 2026,YourStory,https://yourstory.com/2026/08/fintech-platform-getvantage-raises-rs-63-cr-in-series-a1-round,Series A1,[DISCREPANCY] Listed as Series A; press reports Series A1.
29,Profound,Enterprise/MarketingTech,$1.5M,Seed,3one4 Capital,August 2026,Entrackr,https://entrackr.com/snippets/former-swiggy-zomato-executives-launch-ai-startup-profound-with-15-mn-seed-round-12225874,Seed,
30,Matel,Electric Vehicles,$13.6M,Series B,UC Impower,August 2026,Entrackr,https://entrackr.com/news/transition-vc-backed-matel-raises-rs-130-cr-in-series-b-round-led-by-uc-impower-12223669,Series B,
31,Bridge Bharat,Art E-Commerce,Undisclosed,Seed,VSS Investments Fund,August 2026,Inc42,https://inc42.com/company/bridge-bharat/,Seed,[PARTIAL] Company confirmed with VSS backing; specific August 2026 seed round not independently verified.
32,Kaapi Machines,Foodservice Equipment,$5.24M,Series A,Sedna Horeca,August 2026,YourStory,https://yourstory.com/2026/08/kaapi-machines-raises-rs-50-cr-from-sedna-horeca,Series A,
33,RoadGrid,Electric Vehicles,$1.36M,Grant,Technology Development Board,August 2026,Entrackr,https://entrackr.com/snippets/ev-charging-startup-roadgrid-secures-rs-13-cr-from-technology-development-board-12222755,Grant,[DISCREPANCY] Listed $1.36M; press reports ~Rs 13cr (~$1.55M).
34,SUIND,Drones,$2.2M,Seed,Transition VC,August 2026,Entrackr,https://entrackr.com/snippets/drone-startup-suind-raises-rs-205-cr-in-seed-round-led-by-transition-vc-12210797,Seed,
35,Vault by Virat Kohli,Fitness/Wellness,Undisclosed,Angel,Virat Kohli,August 2026,Entrackr,https://entrackr.com/snippets/vault-onboards-virat-and-vikas-kohli-as-strategic-investors-12212152,Strategic,"[PARTIAL] Strategic investment/equity stake, not a traditional angel round."
36,Truth And Hair,Beauty Tech,$564K,Seed,Inflection Point Ventures,August 2026,StartupTalky,https://startuptalky.com/news/truth-hair-raises-5-4-crore-in-seed-round-funding/,Seed,
37,Aham Housing Finance,Consumer Loans,$10.4M,Series B,Sanmar Group,August 2026,YourStory,https://yourstory.com/2026/07/aham-housing-finance-raises-rs-100-cr-from-the-sanmar-group,Series B,
38,Mahindra Last Mile Mobility,Auto Brands,$33.6M,Series C,Lightrock,August 2026,Unverified — no corroboration found,,Unverified,
39,Tevanovatechtrade,Manufacturing/Printing,$12.5K,Grant,Kerala Startup Mission,August 2026,Unverified — no corroboration found,,Unverified,
40,Arboreal,Food Tech,$24M,Series A,Omnivore,August 2026,Entrackr,https://entrackr.com/news/arboreal-bioinnovations-raises-rs-230-cr-in-series-a-led-by-edelweisss-eaaa-and-omnivore-12211900,Series A,"[CONFIRMED] Company is ""Arboreal Bioinnovations""."
41,Omega Seiki Mobility,Electric Vehicles,$6M,Strategic,"Securocorp, Sangeeta Pareekh, Saket Aggarwal Family Office, Vanshika Sharma",August 2026,YourStory,https://yourstory.com/2026/07/omega-seiki-mobility-raises-rs-50-crore,Strategic (not Angel),"CORRECTED — original entry ($73.1K Angel, Roopsi Agarwal) didn't match any real deal. Actual raise was ₹50cr (~$6M) strategic round (YourStory, Inc42)."
42,Apnamart,Retail Chains,$12.7M,Series C,Accel,August 2026,Entrackr,https://entrackr.com/news/apna-mart-raises-rs-120-cr-in-series-c-round-led-by-accel-fundamentum-12211453,Series C,
43,Revspot,Sales Automation,$4.8M,Series A,Inflexor,August 2026,YourStory,https://yourstory.com/2026/07/ai-startup-revspot-raises-funding-series-a-round,Series A,
44,Walbha,Bioenergy,$1.04M,Seed,Recykal,August 2026,Entrackr,https://entrackr.com/snippets/circular-economy-company-recykal-invests-rs-10-cr-in-walbha-industries-12205320,Seed,
45,Yaanendriya,Sensors,$1.56M,Seed,Piper Serica,August 2026,Entrackr,https://entrackr.com/snippets/piper-serica-leads-rs-15-cr-seed-round-in-deep-tech-startup-yaanendriya-12205479,Seed,
46,Lohum,Energy Storage Tech,$24M,Series C,Poonawalla Vision Fund,August 2026,Unverified — no corroboration found,,Unverified,
47,Happy Pet,Pet Tech,$525K,Seed/Strategic,Angel group; Dr. Devi Shetty (strategic),August 2026,ANI News,https://aninews.in/news/business/happy-pet-indias-first-pet-tech-company-secures-strategic-funding-from-dr-devi-shetty20260217121514/,Seed/Strategic,CORRECTED — amount was ~10x too low and investor was fabricated. Real raise is ₹5cr with strategic backing from Dr. Devi Shetty (ANI News).
48,Urban Harvest,Food/Beverage Products,$35.4M,Series D,Info Edge Ventures,July 2026,Entrackr,https://entrackr.com/exclusive/exclusive-urban-harvest-board-to-approve-rs-341-cr-series-d-round-from-58-investors-12191374,Series D,
49,Mikiamo Limoncello,Alcoholic Beverages,Undisclosed,Seed,Diageo India,July 2026,Unverified — no corroboration found,,Unverified,
50,Omega Seiki Mobility,Electric Vehicles,$5.18M,Series A,Securocrop Securities,July 2026,Entrackr,https://entrackr.com/snippets/electric-commercial-vehicle-manufacturer-omega-seiki-mobility-raises-rs-50-cr-12201685,Series A,
51,Beyond The Sugar,Food/Beverage,$104K,Seed,Not Disclosed,July 2026,Whalesbook,https://www.whalesbook.com/news/English/startupsvc/Beyond-The-Sugar-Raises-indian-rupee1-Crore-After-Viral-LinkedIn-Post/6a4e157ee2027284097010bc,Bridge,
52,Carpl,HealthTech/Healthcare IT,$10M,Series A,Stellaris,July 2026,Entrackr,https://entrackr.com/snippets/healthtech-startup-carplai-raises-10-mn-series-a-led-by-ifc-12191147,Series A,[DISCREPANCY] Led by IFC not Stellaris
53,Upkraft,Consumer/Music Tech,$166K,Seed,PedalStart,July 2026,Indian Startup News,https://indianstartupnews.com/funding/extracurricular-learning-platform-upkraft-raises-rs-16-crore-in-funding-led-by-pedalstart-12190868,Pre-seed,
54,BUSINESSNEXT,FinTech/Insurance IT,$40M,Series B,ServiceNow,July 2026,Entrackr,https://entrackr.com/news/businessnext-raises-40-mn-from-servicenow-ventures-at-700-mn-valuation-12189549,Series C,[DISCREPANCY] Series C not Series B
55,NeuralKart,FinTech/Insurance IT,$244K,Seed,Inflection Point Ventures,July 2026,Entrackr,https://entrackr.com/snippets/ai-insurtech-startup-neuralkart-raises-seed-funding-led-by-inflection-point-ventures-12189954,Seed,
56,Farm Watt,Food/Crop Tech,$3.37M,Seed,Indian Angel Network,July 2026,Entrackr,https://entrackr.com/snippets/farm-watt-innovations-raises-rs-325-cr-co-led-by-ian-alpha-fund-and-rainmatter-12190175,Seed,[DISCREPANCY] Co-led by IAN Alpha Fund and Rainmatter
57,Bioscan Research,Life Sciences/Neurology,$1M,Seed,Unicorn India Ventures,July 2026,Entrackr,https://entrackr.com/snippets/medtech-startup-bioscan-research-raises-1-mn-in-seed-round-led-by-unicorn-india-ventures-12186756,Seed,
58,Shapoorji Pallonji,Conglomerates,$1.6B,Conventional Debt,DSP Finance,July 2026,Business Standard,https://www.business-standard.com/companies/news/shapoorji-pallonji-group-closes-one-of-india-s-biggest-private-credit-deals-126072001554.html,Conventional Debt,
59,Ather Energy,Energy Tech/EVs,$135M,Post IPO,ADIA,July 2026,Business Standard,https://www.business-standard.com/companies/start-ups/india-s-ather-energy-to-raise-125-million-via-share-issue-warrants-126071500813.html,Post IPO,
60,Agropak,Industrial/Packaging Tech,$32.6K,Grant,Pilani Innovation Entrepreneurship,July 2026,StartupTalky,https://startuptalky.com/news/agropak-bags-31-4-lakh-non-dilutive-grant-at-suscrunch-2026-zerodha-3one4-capital-reliance-join-climate-push/,Grant,
61,Fire AI,Enterprise/Business Intelligence,$259K,Seed,SucSEED Indovation,July 2026,Entrackr,https://entrackr.com/snippets/fireai-raises-rs-25-cr-from-sucseed-indovation-fund-12184501,Seed,
62,Suminter,Food/Beverage,$2.6M,Conventional Debt,BlackSoil,July 2026,Entrackr,https://entrackr.com/snippets/suminter-india-organics-secures-rs-25-cr-debt-from-blacksoil-capital-12184884,Conventional Debt,
63,Hop,FinTech/Banking Tech,$950K,Strategic Acquisition,Zaggle,July 2026,FinTech Futures,https://www.fintechfutures.com/m-a/zaggle-to-acquire-minority-stake-in-unobanc,Strategic acquisition,"CORRECTED — not a seed round. This is Zaggle acquiring up to 19.9% of Unobanc (Hop's subsidiary), up to ₹7.96cr (FinTech Futures)."
64,Khageshvara Aviation,Consumer/Online Travel,Undisclosed,Seed,Finvolve,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Amount undisclosed
65,Bringgg,Consumer/Logistics Tech,$41.5K,Seed,Not Disclosed,July 2026,The Chenab Times,https://thechenabtimes.com/2026/07/21/andhra-pradesh-startup-bringgg-secures-investment-from-nris/,Angel (NRI),
66,VERIQUS,Investment Tech,$40.1M,Series C,Norwest,July 2026,Entrackr,https://entrackr.com/news/wealthtech-platform-veriqus-raises-rs-387-cr-in-funding-round-led-by-norwest-12182570,Series C,
67,Raghu Vamsi,Aircraft Parts Manufacturing,$40M,Series B,Norwest,July 2026,Entrackr,https://entrackr.com/news/raghu-vamsi-aerospace-group-raises-40-mn-led-by-norwest-skegen-asset-management-12181153,Series B,
68,LNGVTY,Beauty/Personal Care,$518K,Seed,Rukam Capital,July 2026,Entrackr,https://entrackr.com/snippets/rukam-capital-leads-seed-round-in-skin-longevity-beauty-brand-lngvty-12181648,Seed,
69,Plazza,Healthcare Booking,$15M,Series A,Accel,July 2026,Entrackr,https://entrackr.com/news/instant-medicine-delivery-startup-plazza-raises-15-mn-led-by-accel-elevation-and-nexus-12180237,Series A,
70,Neo Group,Investment Tech,$36.3M,Series C,Peak XV Partners,July 2026,Entrackr,https://entrackr.com/news/neo-group-raises-rs-350-cr-led-by-peak-xv-partners-12172440,Series C,
71,Sort My Prep,Test Preparation,$350K,Seed,Undisclosed,July 2026,Business Today,https://www.businesstoday.in/technology/startups/story/bits-pilani-backed-sortmyprep-raises-350000-in-pre-seed-funding-to-expand-ai-powered-exam-preparation-platform-542672-2026-07-13,Pre-seed,
72,Othor AI,Chatbots,$62.3K,Seed,Amit Ashu,July 2026,Dealroom,https://app.dealroom.co/news/note/othor-ai-raises-60-lakh-bridge-round-recruits-its-lead-investor-as-product-chief,Bridge,
73,SwitchOn,Manufacturing Tech,$8M,Series A,IvyCap Ventures,July 2026,Entrackr,https://entrackr.com/news/physical-ai-startup-switchon-raises-8-mn-in-pre-series-b-round-led-by-ivycap-12168741,Pre-Series B,[DISCREPANCY] Pre-Series B not Series A
74,Neo Wealth and Asset Management,Asset Management,$36.3M,Series C,Peak XV Partners,July 2026,Entrackr,https://entrackr.com/news/neo-group-raises-rs-350-cr-led-by-peak-xv-partners-12172440,Series C,
75,NapTapGo,Autonomous Hotels,$831K,Seed,Inflection Point Ventures,July 2026,Indian Startup News,https://indianstartupnews.com/funding/pod-hotel-startup-naptapgo-raises-rs-8-crore-in-funding-from-inflection-point-ventures-12169964,Seed,
76,Kalki,Social Platforms,$1.98M,Seed,Crane Venture Partners,July 2026,Unverified — no corroboration found,,Unverified,
77,Quick Clean,Professional Services,$14M,Series B,Stakeboat Capital,July 2026,Entrackr,https://entrackr.com/snippets/quick-clean-raises-14-mn-in-series-b-round-led-by-stakeboat-capital-12168892,Series B,
78,Groyyo,Brands Tech,$9.4M,Series B,Cornerstone Ventures,July 2026,Entrackr,https://entrackr.com/news/groyyo-raises-rs-90-cr-in-first-close-of-series-b-round-led-by-cornerstone-ventures-12170977,Series B,
79,Promom,Online Mom/Baby Care,$3.1M,Series A,Fireside Ventures,July 2026,Entrackr,https://entrackr.com/snippets/maternal-and-baby-care-brand-promom-raises-rs-30-cr-from-fireside-ventures-12167109,Series A,
80,Anmasa,Food/Beverage,$3.12M,Seed,Fireside Ventures,July 2026,Entrackr,https://entrackr.com/snippets/fireside-leads-rs-30-cr-seed-round-in-d2c-grocery-startup-anmasa-12165707,Seed,
81,Open Secret,Online Grocery,$2.08M,Conventional Debt,Desai Brothers,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Debt breakdown not detailed
82,Open Secret,Online Grocery,$3.12M,Series C,Desai Brothers,July 2026,YourStory,https://yourstory.com/2026/07/healthy-snacks-brand-open-secret-raises-rs-50-crore,Equity,[DISCREPANCY] Not labeled as Series C in press
83,Emergent,Application Development Tools,$130M,Series C,Creaegis,July 2026,Entrackr,https://entrackr.com/news/emergent-becomes-third-ai-unicorn-of-2026-with-130-mn-series-c-led-by-creaegis-12166031,Series C,
84,E3 Electric,Electric Vehicles,$2.6M,Conventional Debt,BluVenture Holdings,July 2026,Entrackr,https://entrackr.com/news/bluventure-leads-rs-100-cr-series-a-round-in-e3-electricai-12164631,Conventional Debt,
85,E3 Electric,Electric Vehicles,$7.8M,Series A,BluVenture Holdings,July 2026,Entrackr,https://entrackr.com/news/bluventure-leads-rs-100-cr-series-a-round-in-e3-electricai-12164631,Series A,[DISCREPANCY] 10.5M not 7.8M
86,Hisab Kitab,Finance/Accounting Tech,Undisclosed,Seed,Undisclosed,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Amount undisclosed
87,Udaan,B2B E-Commerce,Undisclosed,Conventional Debt,Undisclosed,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Amount undisclosed
88,Udaan,B2B E-Commerce,$160M,Series H,Lightspeed Venture Partners,July 2026,Entrackr,https://entrackr.com/news/udaan-announces-160-mn-structured-financing-to-strengthen-balance-sheet-12163926,Series H,
89,4baseCare,Genomics,Undisclosed,Series B,BIRAC,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] BIRAC component unclear
90,Sea6,Aquaculture Tech,Undisclosed,Series B,BIRAC,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Amount undisclosed
91,Revelations Biotech,Food Tech,Undisclosed,Seed,BIRAC,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Amount undisclosed
92,Fermbox,Advanced Materials,Undisclosed,Series A,BIRAC,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Amount undisclosed
93,Tellurisbiotech,Crop Tech,Undisclosed,Series A,BIRAC,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] No July 2026 announcement
94,ideaForge,Drones,$52.2M,Post IPO,Arohi Emerging India Master Fund,July 2026,Entrackr,https://entrackr.com/news/ideaforge-raises-500-cr-via-qip-allots-62-9-lakh-shares-12164103,Post IPO,
95,Naturis Cosmetics,Industrial/Manufacturing,$3.53M,Series A,Sharrp Ventures,July 2026,Entrackr,https://entrackr.com/snippets/naturis-cosmetics-raises-rs-100-cr-in-maiden-institutional-round-led-by-sharrp-ventures-12169138,Series A,
96,OneCard,FinTech,$7.6M,Series D,Peak XV Partners,July 2026,Entrackr,https://entrackr.com/exclusive/exclusive-onecard-to-raise-rs-72-cr-in-its-ongoing-series-d-round-led-by-peak-xv-12159996,Series D,[PARTIAL] Partial round only
97,BimaKavach,FinTech,Undisclosed,Seed,Beyond Capital Ventures,July 2026,Unverified — no corroboration found,,Unverified,
98,Sumosave,Retail,$5.23M,Series A,12 Flags Group,July 2026,"Business Standard, Entrackr",https://www.businessoffood.in/mohit-kampani-bags-rs-50-crore-to-accelerate-sumosaves-500-supermarket-vision/,Series A,
99,Sumosave,Retail,Undisclosed,Conventional Debt,Stride Ventures,July 2026,Entrackr,https://parsers.substack.com/p/funding-rounds-report-weekly-of-july-a87,Conventional Debt,"[PARTIAL] Company and round type confirmed, amount undisclosed"
100,Purple Style Labs,Consumer,$17M,Conventional Debt,Kairos Ventures,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] Conventional Debt in July 2026 confirmed but Kairos Ventures not identified as investor
101,Aukera,Consumer Goods,$10M,Conventional Debt,Alteria Capital,July 2026,Inc42,https://inc42.com/company/aukera/,Series B,"[DISCREPANCY] Aukera is jewelry brand, not consumer goods. Series B confirmed July 10, 2026"
102,BiofuelCircle,Energy Tech,$3.67M,Series B,Varanium,July 2026,Inc42,https://inc42.com/buzz/biofuelcircle-raises-%E2%82%B935-cr-to-expand-its-biomass-supply-chain-ecosystem/,Bridge,"[PARTIAL] Rs 35 crore bridge funding confirmed, Series B planned for early 2027"
103,DocsTribe,Enterprise Applications,Undisclosed,Seed,ABGD Ventures,July 2026,Business Standard,https://www.business-standard.com/content/press-releases-ani/docstribe-raises-strategic-funding-from-abgd-ventures-to-accelerate-market-expansion-across-the-us-and-gcc-126070901172_1.html,Seed,"[PARTIAL] ABGD Ventures confirmed, amount undisclosed"
104,Savemfi,FinTech,$4.19M,Conventional Debt,Indian Overseas Bank,July 2026,Unverified — no corroboration found,,Unverified,
105,BAAS Technologies,Defense Tech,$524K,Seed,Inflection Point Ventures,July 2026,Entrackr,https://entrackr.com/snippets/ipv-leads-pre-seed-round-in-space-tech-startup-baas-technologies-12148802,Pre-seed,
106,Iswarya Hospital,Healthcare,$37M,Series C,Orbimed,July 2026,YourStory,https://yourstory.com/2026/07/iswarya-fertility-center-350-crore-orbimed-funding,Series C,[DISCREPANCY] Company is Iswarya Fertility/Health not Hospital. Amount Rs 355 crore (~$42.7M) vs $37M claimed
107,Battery Smart,Energy Tech,$13M,Conventional Debt,responsAbility,July 2026,YourStory,https://yourstory.com/2026/04/battery-smart-raises-15m-debt-mirova,Conventional Debt,
108,Wheelocity,Retail,$8.5M,Series A,Anicut Capital,July 2026,Entrackr,https://entrackr.com/news/wheelocity-raises-15-mn-led-by-lightspeed-7573595,Series A,"[PARTIAL] July 2026 funding ~Rs 82 crore confirmed, amount differs from $8.5M"
109,V6 Clinics,Healthcare,$2M,Seed,Undisclosed,July 2026,Not yet checked,,,
110,Adage,Environment Tech,$24.2M,Series B,Global South Capital,July 2026,YourStory,https://yourstory.com/2026/07/funding-dage-automation-230-crore-ai-led-industrial-expansion,Series B,
111,Yotta,Enterprise Infrastructure,$150M,Series D,SBI,July 2026,Business Standard,https://www.business-standard.com/companies/start-ups/yotta-raises-150-mn-at-37-000-crore-valuation-to-fund-ai-expansion-126070500709_1.html,Series D,"[DISCREPANCY] $150M confirmed but from HNI/family offices, NOT from SBI"
112,EnLife,Life Sciences,$630K,Seed,Piper Serica,July 2026,Entrackr,https://entrackr.com/snippets/piper-serica-leads-seed-round-in-deep-tech-startup-enlife-research-12146237,Seed,
113,Sunstone,EdTech,$17.7M,Series D,WestBridge Capital,July 2026,YourStory,https://yourstory.com/2026/07/elevate-education-bags-170-crore-from-westbridge-capital,Series D,
114,Avni Wellness,Retail,$420K,Seed,Puru Gupta,July 2026,Entrackr,https://entrackr.com/snippets/womens-health-brand-avni-wellness-raises-seed-round-12143541,Seed,
115,Neothera,HealthTech,$945K,Seed,Blume Venture,July 2026,Indian Startup News,https://indianstartupnews.com/funding/science-led-skin-health-startup-neothera-raises-rs-9-crore-in-funding-from-blume-ventures-other-investors-12144956,Pre-seed,
116,FibroHeal,Life Sciences,$1.47M,Angel,Naresh Bhat,July 2026,StartupStory,https://startupstorymedia.com/fibroheal-raises-%E2%82%B914-crore-to-fuel-next-phase-of-growth-and-entry-in-developed-markets/,Angel,[PARTIAL] Rs 14 crore with Naresh Bhat among other investors confirmed
117,Doodhvale Farms,Food/Agriculture Tech,$1M,Seed,Atomic Capital,July 2026,Outlook Business,https://www.outlookbusiness.com/news/doodhvale-farms-raises-1-million-from-existing-investor-atomic-capital,Seed,
118,Milo Drive,Energy Tech,$2.4M,Seed,Caret Capital,July 2026,EVReporter,https://evreporter.com/milo-drive-secures-2-4-million-seed-round-co-led-by-caret-capital-and-antler/,Seed,[PARTIAL] $2.4M confirmed but co-led by Caret Capital AND Antler
119,Edysor,Native AI,$126K,Angel,Jasmine Sarupria,July 2026,Entrackr,https://entrackr.com/snippets/voice-ai-platform-edysorai-raises-pre-seed-round-12146048,Pre-seed,
120,Blurgs,Defense Tech,$2.2M,Seed,Pravega Ventures,July 2026,Business Standard,https://www.business-standard.com/amp/technology/tech-news/blurgs-ai-raises-2-2-million-to-expand-maritime-defence-ai-platforms-126070700358_1.html,Seed,[PARTIAL] $2.2M confirmed but co-led by Pravega Ventures AND Shastra VC
121,Mowito,High Tech,$3M,Seed,Version One Ventures,July 2026,Entrackr,https://entrackr.com/news/physical-ai-startup-mowito-raises-3-mn-led-by-version-one-ventures-12141325,Seed,
122,JRG,Auto,$13.2M,Conventional Debt,Piramal Capital & Housing Finance,July 2026,Business Standard,https://www.business-standard.com/amp/companies/news/piramal-alternatives-invests-125-crore-in-jrg-automotive-industries-126070701195_1.html,Conventional Debt,"[PARTIAL] Rs 125 crore (~$15M) confirmed, amount differs from $13.2M"
123,On-Points,Retail,$600K,Seed,First Cheque,July 2026,Entrackr,https://entrackr.com/snippets/rewards-platform-onpoint-raises-600k-in-pre-seed-round-12140935,Pre-seed,
124,Noval Waste Management,Environment,Undisclosed,Seed,RISE,July 2026,Not yet checked,,,
125,Fizzy Goblet,Consumer,Undisclosed,Angel,Kareena Kapoor Khan,July 2026,Business Standard,https://www.business-standard.com/companies/start-ups/d2c-startup-fizzy-goblet-gets-actor-kareena-kapoor-khan-as-investor-126070600851_1.html,Angel,"[PARTIAL] Kareena Kapoor Khan investment confirmed July 2026, amount undisclosed"
126,Gaonrestaurant,Food/Agriculture,$1.05M,Seed,Indifi,July 2026,Unverified — no corroboration found,,Unverified,"[UNVERIFIED] GAON raised ~Rs 10 crore with Indifi as debt provider, not confirmed as Seed lead for $1.05M"
127,Gaonrestaurant,Food/Agriculture,Undisclosed,Conventional Debt,Indifi,July 2026,Unverified — no corroboration found,,Unverified,[UNVERIFIED] GAON funding confirmed but Indifi debt round in July 2026 not independently verified
128,Zoomcar,Consumer,$195K,Post IPO,Undisclosed,July 2026,TradingView,https://www.tradingview.com/news/tradingview:213847d0a199d:0-zoomcar-completes-195k-third-close-of-series-a-units-0-05-convert-0-0625-warrants/,Post-IPO placement,
129,Stylework,Real Estate/Construction Tech,$1M,Series A,Auxano,July 2026,Unverified — no corroboration found,,Unverified,"[UNVERIFIED] Series A July 7, 2026 confirmed but Auxano not listed as investor, amount undisclosed"
